Patent Records:
(inventor_first_name, faculty_first_name, faculty_last_name, inventor_city, inventor_state, grantee_name, patent_document_number, document_date, title_of_invention)
('Gul', 'Gul', 'Agha', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '09086430', '20150721', 'High sensitivity environmental sensor board and methods for structural health monitoring')
('Narendra', 'Narendra', 'Ahuja', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '06807310', '20041019', 'Transformation of image parts in different domains to obtain resultant image size different from initial image size')
('Thomas J.', 'Thomas', 'Anastasio', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '06795794', '20040921', 'Method for determination of spatial target probability using a model of multisensory processing by the brain')
('Matthew', 'Matthew', 'Caesar', 'Buffalo Grove', 'IL', 'The University of Illinois', '08924560', '20141230', 'Optimized game server relocation environment')
('Roy H.', 'Roy', 'Campbell', 'Champaign', 'IL', 'University of Illinois', '08872895', '20141028', 'Real-time video coding using graphics rendering contexts')
('Roy H.', 'Roy', 'Campbell', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '06680976', '20040120', 'Robust, reliable compression and packetization scheme for transmitting video')
('Roy H.', 'Roy', 'Campbell', 'Champaign', 'IL', 'THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS', '09116692', '20150825', 'System and method for improving power conversion for advanced electronic circuits')
('Kevin Chen-Chuan', 'Kevin', 'Chang', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07552116', '20090623', 'Method and system for extracting web query interfaces')
('Kevin Chen-Chuan', 'Kevin', 'Chang', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '08117208', '20120214', 'System for entity search and a method for entity scoring in a linked document database')
('Weng C.', 'Weng', 'Chew', 'Champaign', 'IL', 'University of Illinois at Urbana—Champaign', '07707527', '20100427', "Huygens' box methodology for signal integrity analysis")
('Minh N.', 'Minh', 'Do', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07847719', '20101207', 'Signal processors, signal processing methods, and digital filter configuration methods')
('Minh Ngoc', 'Minh', 'Do', 'Champaign', 'IL', 'University of Illinois at Urbana-Champaign', '08649592', '20140211', 'System for background subtraction with 3D camera')
('Minh Ngoc', 'Minh', 'Do', 'Champaign', 'IL', 'University of Illinois at Urbana-Champaign', '08643701', '20140204', 'System for executing 3D propagation for depth image-based rendering')
('David A.', 'David', 'Forsyth', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '09330500', '20160503', 'Inserting objects into content')
('David', 'David', 'Forsyth', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '09471967', '20161018', 'Relighting fragments for insertion into content')
('David E.', 'David', 'Goldberg', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '08131656', '20120306', 'Adaptive optimization methods')
('David E.', 'David', 'Goldberg', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07047169', '20060516', 'Method for optimizing a solution set')
('David E.', 'David', 'Goldberg', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07280986', '20071009', 'Methods and program products for optimizing problem clustering')
('David E.', 'David', 'Goldberg', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07904512', '20110308', 'Methods and systems for computer based collaboration')
('David E.', 'David', 'Goldberg', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07979365', '20110712', 'Methods and systems for interactive computing')
('David E.', 'David', 'Goldberg', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '08301390', '20121030', 'Quantum chemistry simulations using optimization methods')
('Jiawei', 'Jiawei', 'Han', 'Urbana', 'IL', 'BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS', '09165051', '20151020', 'Systems and methods for detecting a novel data class')
('John C.', 'John', 'Hart', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07365744', '20080429', 'Methods and systems for image modification')
('Derek', 'Derek', 'Hoiem', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '09330500', '20160503', 'Inserting objects into content')
('Yih-Chun', 'Yih', 'Hu', 'Urbana', 'IL', 'The Board of Trustees, University of Illinois at Urbana-Champaign', '08230215', '20120724', 'Method for allocating multiple authentication certificates to vehicles in a vehicle-to-vehicle communication network')
('Yih-Chun', 'Yih', 'Hu', 'Urbana', 'IL', 'The Board of Trustees, University of Illinois at Urbana-Champaign', '09461827', '20161004', 'Method for distributing a list of certificate revocations in a vanet')
('Yih-Chun', 'Yih', 'Hu', 'Urbana', 'IL', 'The Board of Trustees, University of Illinois at Urbana-Champaign', '07934095', '20110426', 'Method for exchanging messages and verifying the authenticity of the messages in an ad hoc network')
('Thomas S.', 'Thomas', 'Huang', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '07548637', '20090616', 'Method for detecting objects in an image using pair-wise pixel discriminative features')
('Thomas S.', 'Thomas', 'Huang', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '06795794', '20040921', 'Method for determination of spatial target probability using a model of multisensory processing by the brain')
('Thomas S.', 'Thomas', 'Huang', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '07454039', '20081118', 'Method of performing shape localization')
('Wen-mei W.', 'Wen', 'Hwu', 'Champaign', 'IL', 'Board of Trustees of the University of Illinois', '06640315', '20031028', 'Method and apparatus for enhancing instruction level parallelism')
('Wen-mei William', 'Wen', 'Hwu', 'Champaign', 'IL', 'Board of Trustees of the University of Illinois', '06681387', '20040120', 'Method and apparatus for instruction execution hot spot detection and monitoring in a data processing unit')
('Wen-Mel W.', 'Wen', 'Hwu', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '08266413', '20120911', 'Processor architecture for multipass processing of instructions downstream of a stalled instruction')
